,en,vn,thailand,indonesia
campaign.choose_file,Choose file *.csv from your computer,Chọn file *.csv từ máy tính,เลือกไฟล์ *.csv จากคอมพิวเตอร์ของคุณ,Pilih file *.csv dari komputer Anda
package.choose_file_xlsx,Choose file *.xlsx from your computer,Chọn file *.xlsx từ máy tính,Choose file *.xlsx from your computer,Choose file *.xlsx from your computer
campaign.error_choose_file,Please choose file from your computer,Vui lòng chọn file từ máy tính,โปรดเลือกไฟล์จากคอมพิวเตอร์ของคุณ,Silakan pilih file dari komputer Anda
campaign.price_required,The price field is required,Không thể trống trường giá,ช่องราคาต้องไม่เว้นว่าง,Kolom harga tidak boleh kosong
campaign.quantity_range_required,The quantity range is required,Không thể trống khoảng giá,ช่วงราคาต้องไม่เว้นว่าง,Tidak boleh biar kosong kolum harga
campaign.required_from_to,Quantity To must be bigger than or equal Quantity From,Số lượng đến phải lớn hơn hoặc bằng số lượng từ,Quantity To must be bigger than or equal Quantity From,Quantity To must be bigger than or equal Quantity From
campaign.quantities_must_be_consecutive,Quantities must be consecutive,Mốc khoảng số lượng phải liền nhau,ปริมาณต้องต่อเนื่องกัน,Tanda kuantitas harus bersebelahan
campaign.to_must_greater_from,(To) value must be greater than (from) value,Giá trị sau phải lớn hơn giá trị trước,ค่าหลังต้องมากกว่าค่าเดิม,Nilai yang terakhir harus lebih besar dari yang pertama
campaign.delete_campaign_alert,This campaign has at least one adset so it cannot be deleted,Bạn không thể xóa campaign có chứa nhóm quảng cáo,คุณไม่สามารถลบแคมเปญที่มีกลุ่มการโฆษณา,Anda tidak dapat menghapus kampanye yang ada grup iklan
campaign.delete_adset_alert,This adset has at least one ad so it cannot be deleted,Bạn không thể xóa nhóm quảng cáo có chứa quảng cáo,คุณไม่สามารถลบกลุ่มโฆษณาที่มีโฆษณา,Anda tidak dapat menghapus grup iklan yang ada iklan
campaign.delete_ad_alert,This ad has at least one contact so it cannot be deleted,Bạn không thể xóa quảng cáo có chứa contact,คุณไม่สามารถลบโฆษณาที่มีผู้ติดต่อ,Anda tidak dapat menghapus iklan yang ada kontak
campaign.delete_campaign_alert_2,This campaign has at least one ad so it cannot be deleted,Bạn không thể xóa campaign có chứa quảng cáo,คุณไม่สามารถลบแคมเปญที่มีโฆษณาได้,Anda tidak dapat menghapus kampanye yang ada iklan
campaign.delete_campaign_alert_3,This campaign has at least one contact so it cannot be deleted,Bạn không thể xóa campaign có chứa contact,คุณไม่สามารถลบแคมเปญที่มีผู้ติดต่อ,Anda tidak dapat menghapus kampanye yang berisi kontak
campaign.name_placeholder,Enter name of campaign,Nhập tên chiến dịch,ใส่ชื่อแคมเปญ,Masukkan nama kampanye
campaign.validate_name,Please input campaign name,Vui lòng nhập tên chiến dịch,โปรดป้อนชื่อแคมเปญ,Harap masukkan nama kampanye
campaign.facebook_id,Facebook campaign ID,ID facebook chiến dịch,Facebook campaign ID,Facebook campaign ID
campaign.face_length,The length of facebook campaign ID field maximum 160 characters,Độ dài ID facebook chiến dịch tối đa 160 ký tự,ความยาวของ ID เฟสบุ๊คแคมเปญ สูงสุด 160 ตัวอักษร,Panjang ID kampanye facebook maksimum 160 karakter
campaign.name_create_pl,Enter campaign name,Nhập tên chiến dịch,Enter campaign name,Enter campaign name
campaign.facebook_create_pl,Enter Facebook Ads Id,Nhập Facebook Ads Id,Enter Facebook Ads Id,Enter Facebook Ads Id
campagin.type_create,Campaign type,Loại chiến dịch,Campaign type,Campaign type
campaign.type_pl,Select campaign type,Chọn loại chiến dịch,Select campaign type,Select campaign type
campaign.items,items,món,items,items
ads.api_url,API URL,API URL,API URL,API URL
ads.token,API Request Header,API Request Header,API Request Header,API Request Header
ads.add-sku,Add sku,Thêm sku,Add sku,Add sku
ads.gift,Gifts,Quà tặng,Gifts,Gifts
ads.type,Ads type,Loại ads,Ads type,Ads type
project.create,Create project,Tạo dự án,สร้างโครงการ,Dibuat proyek
project.update,Update project,Cập nhật dự án,อัพเดทโครงการ,Pembaruan Proyek
project.title,Projects,Dự án,โครงการ,Proyek
project.name,Project name,Tên dự án,ชื่อโครงการ,Nama proyek
project.validate_name,Please input project name,Vui lòng nhập tên dự án,กรุณากรอกชื่อโครงการ,Silakan masukkan nama proyek
project.validate_product,Please select your product,Vui lòng chọn sản phẩm,กรุณาเลือกผลิตภัณฑ์,Silahkan pilih produk
project.name_placeholder,Enter name of project,Nhập tên dự án,ใส่ชื่อโครงการ,Masukkan nama proyek 
project.validate_select,Please select your project,Vui lòng chọn dự án,กรุณาเลือกโครงการ,Silakan pilih proyek
project.facebook_id,Enter facebook project ID,Nhập ID facebook dự án,ใส่ ID เฟสบุ๊ค โครงการ,Masukkan ID facebook proyek
project.face_length,The length of facebook project ID field maximum 160 characters,Độ dài ID facebook dự án tối đa 160 ký tự,ความยาวของ ใส่ ID เฟสบุ๊คโครงการ สูงสุด 160 ตัวอักษร,Panjang ID facebook proyek maksimum 160 karakter
project.select_name,Select project,Chọn dự án,เลือกโครงการ,Pilih proyek
project_list.create,Create project,Tạo dự án,สร้างโครงการ,Dibuat proyek
project_list.search,Search,Tìm kiếm,ค้นหา,Cari
project_list.count_campaign,Campaigns,Chiến dịch,แคมเปญ,Kampanye
project_list.count_adset,Adsets,Nhóm QC,ทีม QC,Grup Iklan
project_list.count_ad,Ads,Quảng cáo,โฆษณา,iklan
project_list.name,Project name,Tên dự án,ชื่อโครงการ,Nama proyek
project_list.code,Project code,Mã dự án,รหัสโครงการ,Kode proyek
project_list.add,Add Project,Thêm dự án,เพิ่มโครงการ,Tambah proyek
campaign_list.create,Create campaign,Tạo chiến dịch,สร้างแคมเปญ,Dibuat kampanye
campaign_list.name,Campaign name,Tên chiến dịch,ชื่อแคมเปญ,Nama kampanye
campaign_list.delivery,Delivery,Đã giao,จัดส่งเรียบร้อย,Terkirim
campaign_list.count_contact,Contacts,Liên hệ,ติดต่อ,Kontak
campaign_list.count_order,Orders,Đơn hàng,คำสั่งซื้อ,Pesanan
campaign_list.count_adset,Adsets,Nhóm quảng cáo,กลุ่มโฆษณา,Grup iklan
campaign_list.count_ad,Ads,Quảng cáo,โฆษณา,Iklan
campaign_list.search,Search campaigns,Tìm chiến dịch,ค้นหาแคมเปญ,Cari kampanye
campaign_list.code,Campaign code,Mã chiến dịch,รหัสแคมเปญ,Kode kampanye
campaign_list.add,Add Campaign,Thêm chiến dịch,เพิ่มแคมเปญ,Tambah kampanye
product_list.status,Status,Tình trạng,สถานะ,Status
product_list.active,Active,Kích hoạt,เปิดใช้งานแล้ว,Aktif
product_list.inactive,Inactive,Ngưng hoạt động,ปิดใช้งาน,Menutup
product_list.tab_name,Products,Sản phẩm,สินค้า,Produk
product_list.name,Product name,Tên sản phẩm,ชื่อสินค้า,Nama produk
product_list.count_project,Projects,Dự án,โครงการ,Proyek
product_list.count_campaign,Campaigns,Chiến dịch,แคมเปญ,Kampanye
product_list.count_order,Orders,Đơn hàng,คำสั่งซื้อ,Pesanan
product_list.count_adset,Adsets,Nhóm quảng cáo,กลุ่มโฆษณา,Grup iklan
product_list.count_ad,Ads,Quảng cáo,โฆษณา,Iklan
product_list.count_contact,Contacts,Liên hệ,ติดต่อ,Kontak
product_list.search,Search product,Tìm kiếm sản phẩm,Search product,Search product
product_list.code,Product code,Mã sản phẩm,รหัสสินค้า,Kode Produk
ads_group_list.name,Adset name,Tên nhóm quảng cáo,ชื่อกลุ่มโฆษณา,Nama grup iklan
ads_group_list.tab_name,Adsets,Nhóm quảng cáo,กลุ่มโฆษณา,Grup iklan
ads_group_list.create,Create ad sets,Tạo nhóm quảng cáo,สร้างกลุ่มโฆษณา,Buat grup iklan
ads_group_list.update,Update Adset,Sửa nhóm quảng cáo,แก้ไขกลุ่มโฆษณา,Edit grup iklan
ads_group_list.count_order,Orders,Đơn hàng,คำสั่งซื้อ,Memesan
ads_group_list.count_contact,Contacts,Liên hệ,ติดต่อ,Kontak
ads_group_list.delivery,Delivery,Đã giao,จัดส่งเรียบร้อย,Terkirim
ads_group_list.search,Search Adsets,Tìm kiếm,ค้นหา,Cari
ads_group_list.code,Adset code,Mã nhóm quảng cáo,รหัสกลุ่มโฆษณา,Kode grup iklan
ads_group_list.add,Add adset,Thêm nhóm quảng cáo,เพิ่มกลุ่มโฆษณา,Tambahkan grup iklan
ads_group.create,Create Adset,Tạo nhóm quảng cáo,สร้างกลุ่มโฆษณา,Buat grup iklan
ads_group.name,Adset name,Tên nhóm,ชื่อกลุ่ม,Nama grup
ads_group.code,Code,Mã nhóm,รหัสกลุ่ม,Kode grup
ads_group.name_required,Name is required,Vui lòng nhập tên,กรุณากรอกชื่อของคุณ,Silahkan masukan nama anda
ads_group.code_required,Code is required,Vui lòng nhập mã,กรุณากรอกรหัส,Silakan masukkan kodenya
ads_group.campaign_required,Campaign is required,Vui lòng chọn chiến dịch,กรุณาเลือกแคมเปญ,Silakan pilih kampanye
ads_group.title,Ads set,Nhóm quảng cáo,กลุ่มโฆษณา,Grup iklan
ads_group.name_length_validate,The length of name field is between 5 to 160 characters,Độ dài tên là từ 5 - 160 ký tự,ชื่อยาวตั้งแต่ 5 - 160 ตัวอักษร,Panjang nama dari 5 - 160 karakter
ads_group.fb_ads_group_id,Facebook Adsets Id must be a number,Facebook Adsets Id phải là 1 số,รหัสโฆษณา Facebook ต้องเป็นตัวเลข,Id Facebook Ads harus nomor satu
ads_group.code_length,The length of code field is between 3 to 160 characters,Độ dài code là từ 3 - 160 ký tự,รหัสยาวตั้งแต่ 3 - 160 ตัวอักษร ký,Panjang kode dari 3 - 160 karakter
ads_group.input_name,Enter name of adset,Nhập tên nhóm quảng cáo,ป้อนชื่อกลุ่มโฆษณา,Masukkan nama grup iklan
ads_group.select_name,Select Campaign,Chọn chiến dịch,เลือกแคมเปญ,Pilih kampanye 
ads_group.validate_name,Please input adset name ,Vui lòng nhập tên nhóm quảng cáo,โปรดป้อนชื่อกลุ่มการโฆษณา,Harap masukkan nama grup iklan
ads_group.validate_campaign,Please select your campaign,Vui lòng chọn chiến dịch,กรุณาเลือกแคมเปญ,Silakan pilih kampanye
